RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020
272771,2388,Annadale,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,758752,757873,755129,752676,749812,748054,746624,746104,745712,744753,743024,741695,740391,739824,740201,742169
270847,2397,Grant Ferry,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,124937,124189,123055,121861,121402,121865,121981,121625,121410,121846,122674,123541,124329,125632,126853,127880
273057,2417,Broadway-Fillmore,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,37030,37242,37891,38226,38530,38391,38164,37926,37741,37580,37678,38005,38235,38186,37805,37697
403199,2426,Grasmere - Concord,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,619258,618748,616223,613371,610113,609654,608572,607533,605695,603296,600410,599140,598277,597718,598293,599842
698705,2431,Rye Neck,Neighborhood,NY,NY,Town of Mamaroneck,New York-Newark-Jersey City,Westchester County,767944,763188,761593,760979,763314,766360,767234,768319,767457,764369,761473,760528,758514,758065,756931,754221
270793,2437,Abbott McKinley,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,142764,143156,144905,146541,148094,148451,148386,148563,149086,149727,150924,152336,154239,155958,156719,157240
270904,2455,Old Town,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,605443,604566,602483,601355,600301,600557,599299,598607,597494,596619,593999,592730,591743,591479,592250,593617
270862,2460,Kenfield,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,56930,57932,59271,59504,59418,59102,59223,59684,59947,60334,60757,61296,61754,62278,62592,63581
343910,2474,Edgerton,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,35464,35700,35966,36249,36963,37390,37785,38125,38443,38803,39159,39562,39696,39949,40301,40810
193771,2481,Charlotte,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,104996,106084,106922,107666,108491,109097,109017,108999,109149,109655,110049,110414,110846,111286,112052,113105
270851,2506,Hamlin Park,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,92653,92884,93010,93496,93724,94174,94011,94590,95442,96652,97145,97828,99678,102595,105795,108518
16920,2553,Bay Terrace,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,548739,547488,544293,542614,542193,543634,544725,546373,547070,545537,543218,541686,541049,541399,542655,544669
403125,2587,Meiers Corners,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,568343,568609,567286,564234,561007,558756,559259,559405,559374,557898,556284,555889,555917,556299,557269,559489
343908,2592,Park Avenue,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,258087,260129,261420,262481,263799,265657,265903,265884,265530,266188,267027,268157,268490,269354,270755,272785
343905,2597,Upper Falls,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,30632,30667,30725,30814,31160,31525,31899,31889,31825,31831,32196,32502,32740,32743,32766,32863
273703,2608,Far West-Side,Neighborhood,NY,NY,Syracuse,Syracuse,Onondaga County,81530,81797,81487,82112,83200,84450,85567,86222,86921,87399,88122,88596,89059,89719,90862,91625
198048,2636,South Hill,Neighborhood,NY,NY,Town Of Ithaca,Ithaca,Tompkins County,237617,236925,236447,234370,232696,231171,230860,231019,232052,232927,232834,232701,233253,235353,237561,241002
343206,2659,Woodlawn,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,262260,262725,264537,263929,261575,259906,261255,263513,265655,268577,270166,272853,274290,277450,278950,283120
343907,2713,East Avenue,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,265819,268036,270251,271612,273768,275446,276141,276517,276767,277606,278766,280760,282073,283601,285063,287866
342679,2717,West Hill,Neighborhood,NY,NY,Albany,Albany-Schenectady-Troy,Albany County,70782,72452,74307,74760,75383,75395,76639,77496,78094,78381,79134,79809,79747,79221,78501,79068
34741,2759,West Glens Falls,Neighborhood,NY,NY,Town Of Queensbury,Glens Falls,Warren County,174154,174832,175502,176932,177515,178304,177586,177289,176946,177373,177147,176830,176793,177068,177529,177133
18799,2776,Katonah,Neighborhood,NY,NY,Town of Bedford,New York-Newark-Jersey City,Westchester County,722129,712748,712064,713551,715573,715936,717172,719144,718982,717443,716726,718798,722728,726518,727144,728615
270935,2788,South Park,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,126688,127706,129294,131018,132689,133768,134930,136255,137258,137540,138040,139013,140504,141562,142023,142227
396701,2801,Great Neck Plaza,Neighborhood,NY,NY,Great Neck,New York-Newark-Jersey City,Nassau County,758296,753859,759975,760135,759119,744837,737373,729783,722885,713717,705165,701365,704786,708362,707011,710137
196620,2810,New Springville,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,604440,603212,600414,596962,593130,590987,590591,589574,588205,585808,583576,582122,581945,582550,584523,587565
399420,2816,Bellevue,Neighborhood,NY,NY,Schenectady,Albany-Schenectady-Troy,Schenectady County,104433,105845,107283,107864,108111,108055,108640,108842,109711,110519,111760,113798,115345,116522,117372,118705
